"","X.Method","Adaptive","AdaptiveType","T","IterScale","Repeat","Metric","Value","TreeName","Time","SMCSamplerExperiments.mainRand","SMCSamplerExperiments.alphaSMCSampler","gen.rand","gen.treeRate","SMCSamplerExperiments.iterScalings","gen.useNonclock","Method"
"83","ANNEALING","ANNEALING FALSE",0,5053,100,0,"PartitionMetric",0,"sim-179962812.msf",117291,111,0.99999,9001,10,"100 200000","true"," DASMC"
"84","ANNEALING","ANNEALING FALSE",0,5053,100,0,"RobinsonFouldsMetric",0.23308418564365,"sim-179962812.msf",117291,111,0.99999,9001,10,"100 200000","true"," DASMC"
"85","ANNEALING","ANNEALING FALSE",0,5053,100,0,"KuhnerFelsenstein",0.00648993571472628,"sim-179962812.msf",117291,111,0.99999,9001,10,"100 200000","true"," DASMC"
"86","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"ConsensusLogLL",-3831.49451786908,"sim-179962812.msf",147393,111,0.99999,9001,10,"100 200000","true","CSMC-Nonclock"
"88","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"PartitionMetric",6,"sim-179962812.msf",147393,111,0.99999,9001,10,"100 200000","true","CSMC-Nonclock"
"89","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"RobinsonFouldsMetric",0.485240631533959,"sim-179962812.msf",147393,111,0.99999,9001,10,"100 200000","true","CSMC-Nonclock"
"90","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"KuhnerFelsenstein",0.024062212509989,"sim-179962812.msf",147393,111,0.99999,9001,10,"100 200000","true","CSMC-Nonclock"
"91","ANNEALING","ANNEALING TRUE",0,5262,100,0,"ConsensusLogLL",-3817.9654859069,"sim--1435980479.msf",124115,111,0.99999,8001,10,"100 200000","true"," ASMC"
"93","ANNEALING","ANNEALING TRUE",0,5262,100,0,"PartitionMetric",0,"sim--1435980479.msf",124115,111,0.99999,8001,10,"100 200000","true"," ASMC"
"94","ANNEALING","ANNEALING TRUE",0,5262,100,0,"RobinsonFouldsMetric",0.253924199264428,"sim--1435980479.msf",124115,111,0.99999,8001,10,"100 200000","true"," ASMC"
"95","ANNEALING","ANNEALING TRUE",0,5262,100,0,"KuhnerFelsenstein",0.00922556583927124,"sim--1435980479.msf",124115,111,0.99999,8001,10,"100 200000","true"," ASMC"
"96","ANNEALING","ANNEALING FALSE",0,5262,100,0,"ConsensusLogLL",-3818.41689254488,"sim--1435980479.msf",95984,111,0.99999,8001,10,"100 200000","true"," DASMC"
"98","ANNEALING","ANNEALING FALSE",0,5262,100,0,"PartitionMetric",0,"sim--1435980479.msf",95984,111,0.99999,8001,10,"100 200000","true"," DASMC"
"99","ANNEALING","ANNEALING FALSE",0,5262,100,0,"RobinsonFouldsMetric",0.23124940815255,"sim--1435980479.msf",95984,111,0.99999,8001,10,"100 200000","true"," DASMC"
"100","ANNEALING","ANNEALING FALSE",0,5262,100,0,"KuhnerFelsenstein",0.00694597136962908,"sim--1435980479.msf",95984,111,0.99999,8001,10,"100 200000","true"," DASMC"
"101","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"ConsensusLogLL",-4063.47881448392,"sim--1435980479.msf",151206,111,0.99999,8001,10,"100 200000","true","CSMC-Nonclock"
"103","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"PartitionMetric",12,"sim--1435980479.msf",151206,111,0.99999,8001,10,"100 200000","true","CSMC-Nonclock"
"104","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"RobinsonFouldsMetric",1.67328012910496,"sim--1435980479.msf",151206,111,0.99999,8001,10,"100 200000","true","CSMC-Nonclock"
"105","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"KuhnerFelsenstein",0.286265033901189,"sim--1435980479.msf",151206,111,0.99999,8001,10,"100 200000","true","CSMC-Nonclock"
"106","ANNEALING","ANNEALING TRUE",0,5200,100,0,"ConsensusLogLL",-3856.53658968653,"sim--1730963368.msf",92277,111,0.99999,8001,10,"100 200000","true"," ASMC"
"108","ANNEALING","ANNEALING TRUE",0,5200,100,0,"PartitionMetric",2,"sim--1730963368.msf",92277,111,0.99999,8001,10,"100 200000","true"," ASMC"
"109","ANNEALING","ANNEALING TRUE",0,5200,100,0,"RobinsonFouldsMetric",0.174683227940943,"sim--1730963368.msf",92277,111,0.99999,8001,10,"100 200000","true"," ASMC"
"110","ANNEALING","ANNEALING TRUE",0,5200,100,0,"KuhnerFelsenstein",0.00252978960504166,"sim--1730963368.msf",92277,111,0.99999,8001,10,"100 200000","true"," ASMC"
"111","ANNEALING","ANNEALING FALSE",0,5200,100,0,"ConsensusLogLL",-3857.07156461103,"sim--1730963368.msf",130899,111,0.99999,8001,10,"100 200000","true"," DASMC"
"113","ANNEALING","ANNEALING FALSE",0,5200,100,0,"PartitionMetric",4,"sim--1730963368.msf",130899,111,0.99999,8001,10,"100 200000","true"," DASMC"
"114","ANNEALING","ANNEALING FALSE",0,5200,100,0,"RobinsonFouldsMetric",0.165461668950602,"sim--1730963368.msf",130899,111,0.99999,8001,10,"100 200000","true"," DASMC"
"115","ANNEALING","ANNEALING FALSE",0,5200,100,0,"KuhnerFelsenstein",0.00212250633351972,"sim--1730963368.msf",130899,111,0.99999,8001,10,"100 200000","true"," DASMC"
"116","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"ConsensusLogLL",-3911.85462735546,"sim--1730963368.msf",147289,111,0.99999,8001,10,"100 200000","true","CSMC-Nonclock"
"118","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"PartitionMetric",8,"sim--1730963368.msf",147289,111,0.99999,8001,10,"100 200000","true","CSMC-Nonclock"
"119","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"RobinsonFouldsMetric",0.534660208682298,"sim--1730963368.msf",147289,111,0.99999,8001,10,"100 200000","true","CSMC-Nonclock"
"120","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"KuhnerFelsenstein",0.022929349346107,"sim--1730963368.msf",147289,111,0.99999,8001,10,"100 200000","true","CSMC-Nonclock"
"121","ANNEALING","ANNEALING TRUE",0,5210,100,0,"ConsensusLogLL",-3727.18880421664,"sim-1912239488.msf",166402,111,0.99999,8001,10,"100 200000","true"," ASMC"
"123","ANNEALING","ANNEALING TRUE",0,5210,100,0,"PartitionMetric",0,"sim-1912239488.msf",166402,111,0.99999,8001,10,"100 200000","true"," ASMC"
"124","ANNEALING","ANNEALING TRUE",0,5210,100,0,"RobinsonFouldsMetric",0.299876557553195,"sim-1912239488.msf",166402,111,0.99999,8001,10,"100 200000","true"," ASMC"
"125","ANNEALING","ANNEALING TRUE",0,5210,100,0,"KuhnerFelsenstein",0.00913294728868748,"sim-1912239488.msf",166402,111,0.99999,8001,10,"100 200000","true"," ASMC"
"126","ANNEALING","ANNEALING FALSE",0,5210,100,0,"ConsensusLogLL",-3726.99460366339,"sim-1912239488.msf",189094,111,0.99999,8001,10,"100 200000","true"," DASMC"
"128","ANNEALING","ANNEALING FALSE",0,5210,100,0,"PartitionMetric",0,"sim-1912239488.msf",189094,111,0.99999,8001,10,"100 200000","true"," DASMC"
"129","ANNEALING","ANNEALING FALSE",0,5210,100,0,"RobinsonFouldsMetric",0.303626557553195,"sim-1912239488.msf",189094,111,0.99999,8001,10,"100 200000","true"," DASMC"
"130","ANNEALING","ANNEALING FALSE",0,5210,100,0,"KuhnerFelsenstein",0.0103417957426069,"sim-1912239488.msf",189094,111,0.99999,8001,10,"100 200000","true"," DASMC"
"131","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"ConsensusLogLL",-3866.53853487321,"sim-1912239488.msf",145079,111,0.99999,8001,10,"100 200000","true","CSMC-Nonclock"
"133","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"PartitionMetric",8,"sim-1912239488.msf",145079,111,0.99999,8001,10,"100 200000","true","CSMC-Nonclock"
"134","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"RobinsonFouldsMetric",0.942291652103659,"sim-1912239488.msf",145079,111,0.99999,8001,10,"100 200000","true","CSMC-Nonclock"
"135","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"KuhnerFelsenstein",0.115659868113783,"sim-1912239488.msf",145079,111,0.99999,8001,10,"100 200000","true","CSMC-Nonclock"
"136","ANNEALING","ANNEALING TRUE",0,5059,100,0,"ConsensusLogLL",-3872.08522114014,"sim--1939888376.msf",167429,222,0.99999,9001,10,"100 200000","true"," ASMC"
"138","ANNEALING","ANNEALING TRUE",0,5059,100,0,"PartitionMetric",0,"sim--1939888376.msf",167429,222,0.99999,9001,10,"100 200000","true"," ASMC"
"139","ANNEALING","ANNEALING TRUE",0,5059,100,0,"RobinsonFouldsMetric",0.208366873331534,"sim--1939888376.msf",167429,222,0.99999,9001,10,"100 200000","true"," ASMC"
"140","ANNEALING","ANNEALING TRUE",0,5059,100,0,"KuhnerFelsenstein",0.0049623222516919,"sim--1939888376.msf",167429,222,0.99999,9001,10,"100 200000","true"," ASMC"
"141","ANNEALING","ANNEALING FALSE",0,5059,100,0,"ConsensusLogLL",-3872.04528451864,"sim--1939888376.msf",179148,222,0.99999,9001,10,"100 200000","true"," DASMC"
"143","ANNEALING","ANNEALING FALSE",0,5059,100,0,"PartitionMetric",0,"sim--1939888376.msf",179148,222,0.99999,9001,10,"100 200000","true"," DASMC"
"144","ANNEALING","ANNEALING FALSE",0,5059,100,0,"RobinsonFouldsMetric",0.18474432201325,"sim--1939888376.msf",179148,222,0.99999,9001,10,"100 200000","true"," DASMC"
"145","ANNEALING","ANNEALING FALSE",0,5059,100,0,"KuhnerFelsenstein",0.00405010931752714,"sim--1939888376.msf",179148,222,0.99999,9001,10,"100 200000","true"," DASMC"
"146","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"ConsensusLogLL",-3899.37245905046,"sim--1939888376.msf",122389,222,0.99999,9001,10,"100 200000","true","CSMC-Nonclock"
"148","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"PartitionMetric",4,"sim--1939888376.msf",122389,222,0.99999,9001,10,"100 200000","true","CSMC-Nonclock"
"149","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"RobinsonFouldsMetric",0.630840819239436,"sim--1939888376.msf",122389,222,0.99999,9001,10,"100 200000","true","CSMC-Nonclock"
"150","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"KuhnerFelsenstein",0.0419176880771431,"sim--1939888376.msf",122389,222,0.99999,9001,10,"100 200000","true","CSMC-Nonclock"
"151","ANNEALING","ANNEALING TRUE",0,4905,100,0,"ConsensusLogLL",-3275.42276982175,"sim--2134957723.msf",114768,222,0.99999,9001,10,"100 200000","true"," ASMC"
"153","ANNEALING","ANNEALING TRUE",0,4905,100,0,"PartitionMetric",2,"sim--2134957723.msf",114768,222,0.99999,9001,10,"100 200000","true"," ASMC"
"154","ANNEALING","ANNEALING TRUE",0,4905,100,0,"RobinsonFouldsMetric",0.166200082316248,"sim--2134957723.msf",114768,222,0.99999,9001,10,"100 200000","true"," ASMC"
"155","ANNEALING","ANNEALING TRUE",0,4905,100,0,"KuhnerFelsenstein",0.00259918683762065,"sim--2134957723.msf",114768,222,0.99999,9001,10,"100 200000","true"," ASMC"
"156","ANNEALING","ANNEALING FALSE",0,4905,100,0,"ConsensusLogLL",-3274.78559237727,"sim--2134957723.msf",118657,222,0.99999,9001,10,"100 200000","true"," DASMC"
"158","ANNEALING","ANNEALING FALSE",0,4905,100,0,"PartitionMetric",2,"sim--2134957723.msf",118657,222,0.99999,9001,10,"100 200000","true"," DASMC"
"159","ANNEALING","ANNEALING FALSE",0,4905,100,0,"RobinsonFouldsMetric",0.205858255807372,"sim--2134957723.msf",118657,222,0.99999,9001,10,"100 200000","true"," DASMC"
"160","ANNEALING","ANNEALING FALSE",0,4905,100,0,"KuhnerFelsenstein",0.00399595419908384,"sim--2134957723.msf",118657,222,0.99999,9001,10,"100 200000","true"," DASMC"
"161","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"ConsensusLogLL",-3300.86776588149,"sim--2134957723.msf",141596,222,0.99999,9001,10,"100 200000","true","CSMC-Nonclock"
"163","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"PartitionMetric",2,"sim--2134957723.msf",141596,222,0.99999,9001,10,"100 200000","true","CSMC-Nonclock"
"164","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"RobinsonFouldsMetric",0.289606253261575,"sim--2134957723.msf",141596,222,0.99999,9001,10,"100 200000","true","CSMC-Nonclock"
"165","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"KuhnerFelsenstein",0.00986787125492702,"sim--2134957723.msf",141596,222,0.99999,9001,10,"100 200000","true","CSMC-Nonclock"
"166","ANNEALING","ANNEALING TRUE",0,5160,100,0,"ConsensusLogLL",-3797.64105201225,"sim-179962812.msf",104076,222,0.99999,9001,10,"100 200000","true"," ASMC"
"168","ANNEALING","ANNEALING TRUE",0,5160,100,0,"PartitionMetric",0,"sim-179962812.msf",104076,222,0.99999,9001,10,"100 200000","true"," ASMC"
"169","ANNEALING","ANNEALING TRUE",0,5160,100,0,"RobinsonFouldsMetric",0.255042826149825,"sim-179962812.msf",104076,222,0.99999,9001,10,"100 200000","true"," ASMC"
"170","ANNEALING","ANNEALING TRUE",0,5160,100,0,"KuhnerFelsenstein",0.00730085167947728,"sim-179962812.msf",104076,222,0.99999,9001,10,"100 200000","true"," ASMC"
"171","ANNEALING","ANNEALING FALSE",0,5160,100,0,"ConsensusLogLL",-3797.80831115496,"sim-179962812.msf",94263,222,0.99999,9001,10,"100 200000","true"," DASMC"
"173","ANNEALING","ANNEALING FALSE",0,5160,100,0,"PartitionMetric",0,"sim-179962812.msf",94263,222,0.99999,9001,10,"100 200000","true"," DASMC"
"174","ANNEALING","ANNEALING FALSE",0,5160,100,0,"RobinsonFouldsMetric",0.247933863997935,"sim-179962812.msf",94263,222,0.99999,9001,10,"100 200000","true"," DASMC"
"175","ANNEALING","ANNEALING FALSE",0,5160,100,0,"KuhnerFelsenstein",0.00688380657888223,"sim-179962812.msf",94263,222,0.99999,9001,10,"100 200000","true"," DASMC"
"176","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"ConsensusLogLL",-3830.35448563044,"sim-179962812.msf",143637,222,0.99999,9001,10,"100 200000","true","CSMC-Nonclock"
"178","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"PartitionMetric",6,"sim-179962812.msf",143637,222,0.99999,9001,10,"100 200000","true","CSMC-Nonclock"
"179","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"RobinsonFouldsMetric",0.556998447655876,"sim-179962812.msf",143637,222,0.99999,9001,10,"100 200000","true","CSMC-Nonclock"
"180","CSMCNonClock","CSMCNonClock NA",NA,NA,2e+05,0,"KuhnerFelsenstein",0.0326527456008395,"sim-179962812.msf",143637,222,0.99999,9001,10,"100 200000","true","CSMC-Nonclock"
