"","#treeName","pi_1","pi_2","pi_3","pi_4","r_1","r_2","r_3","r_4","r_5","r_6","alpha","ModelComparisonExperiments.mainRand","ModelComparisonExperiments.alphaSMCSampler","gen.len","gen.nTaxa","gen.rand","gen.treeRate","ModelComparisonExperiments.iterScalings"
"25","sim-1349511361.msf.Rep0",0.244481905948152,0.262236999798989,0.246087499619209,0.246087499619209,0.170543947684363,0.179122937366215,0.163883383659797,0.163276434775978,0.167208455776207,0.15596484073744,3.40314227825701,7181,0.99995,1000,10,231,10,"100 100000 100 100000 100 100000"
"26","sim--1373711024.msf.Rep0",0.232226493257019,0.241830115947637,0.29356324021054,0.29356324021054,0.168845397252623,0.159961161693416,0.178198391272458,0.152462930364178,0.167180049722642,0.173352069694682,2.91640986439282,7181,0.99995,1000,10,204,10,"100 100000 100 100000 100 100000"
"27","sim--391008912.msf.Rep0",0.251202566358053,0.236376574661763,0.231884655361363,0.231884655361363,0.182918080237123,0.138265319415655,0.178286359030131,0.152925236537675,0.168338257697166,0.179266747082249,6.13513417857446,7181,0.99995,1000,10,268,10,"100 100000 100 100000 100 100000"
"28","sim-1168267423.msf.Rep0",0.256434223509732,0.240127303114091,0.247245678164126,0.247245678164126,0.186600443835625,0.17525787984098,0.144230785749736,0.167033155572628,0.16150413450937,0.16537360049166,11.2903558152688,7181,0.99995,1000,10,211,10,"100 100000 100 100000 100 100000"
"29","sim--1451864418.msf.Rep0",0.208670830163521,0.26622388065189,0.286779923499486,0.286779923499486,0.144219705814854,0.14078858576067,0.194404383848351,0.154306102142665,0.183365148579796,0.182916073853664,9.63832453245676,7181,0.99995,1000,10,280,10,"100 100000 100 100000 100 100000"
"30","sim-1996333719.msf.Rep0",0.253231780199087,0.250818347357442,0.268952511550515,0.268952511550515,0.185470725473425,0.165275727055899,0.165442891585868,0.161983301526515,0.175947786783872,0.14587956757442,10.3583910380351,7181,0.99995,1000,10,227,10,"100 100000 100 100000 100 100000"
"31","sim-1918180326.msf.Rep0",0.238555889022826,0.25336670741663,0.240676152677044,0.240676152677044,0.142328014110226,0.195441008155729,0.171158856667573,0.163995238163709,0.163108158085675,0.163968724817088,3.1830134002762,7181,0.99995,1000,10,271,10,"100 100000 100 100000 100 100000"
"32","sim--1140921814.msf.Rep0",0.263516387503706,0.279813226700392,0.231222936457931,0.231222936457931,0.154235348093518,0.160390792631532,0.155502630927768,0.213580879603753,0.157532349730277,0.158757999013152,2.0247239129906,7181,0.99995,1000,10,208,10,"100 100000 100 100000 100 100000"
"33","sim-165191477.msf.Rep0",0.245063436727228,0.264844590800167,0.253536176519759,0.253536176519759,0.151343380036152,0.192645592784824,0.169196064840087,0.173118157359769,0.161871779910134,0.151825025069034,4.47688346163861,7181,0.99995,1000,10,274,10,"100 100000 100 100000 100 100000"
"34","sim--1639342643.msf.Rep0",0.214200991543476,0.280626689848203,0.241928227020689,0.241928227020689,0.165216896611166,0.166866908919878,0.164718381417098,0.184542751066555,0.168758887502065,0.149896174483238,5.63339444006412,7181,0.99995,1000,10,289,10,"100 100000 100 100000 100 100000"
"35","sim-1536989587.msf.Rep0",0.241509171398938,0.248032031476699,0.246927788749384,0.246927788749384,0.1724486278973,0.171723608697038,0.161669305818823,0.14994483798356,0.164970135333637,0.179243484269642,3.44332075063605,7181,0.99995,1000,10,222,10,"100 100000 100 100000 100 100000"
"36","sim--623798122.msf.Rep0",0.243747309845612,0.240010674737299,0.268750841109958,0.268750841109958,0.155721913926115,0.178284625638971,0.16917329095269,0.178806668572621,0.161906592414474,0.15610690849513,2.90419184066914,7181,0.99995,1000,10,296,10,"100 100000 100 100000 100 100000"
"37","sim-1685391116.msf.Rep0",0.236916917916848,0.253574163829838,0.25514628851854,0.25514628851854,0.183603549275008,0.132825965783728,0.182733856596161,0.149145386409751,0.178129357161377,0.173561884773975,10.3127422466074,7181,0.99995,1000,10,299,10,"100 100000 100 100000 100 100000"
"38","sim--448788472.msf.Rep0",0.266078644425283,0.230490943305841,0.22555799110124,0.22555799110124,0.169406424841219,0.166526798289655,0.186953513309056,0.167725485298271,0.154275988429561,0.155111789832238,3.07277056013408,7181,0.99995,1000,10,217,10,"100 100000 100 100000 100 100000"
"39","sim-702689003.msf.Rep0",0.260200801302645,0.239190753682558,0.252325408677338,0.252325408677338,0.183307777896508,0.16550757196335,0.153314747956153,0.160467143076896,0.162482349259723,0.174920409847369,2.62170598249358,7181,0.99995,1000,10,235,10,"100 100000 100 100000 100 100000"
"40","sim-533913641.msf.Rep0",0.226856754232396,0.23887713405049,0.28105801226345,0.28105801226345,0.183910264225502,0.165882869674934,0.163308912031846,0.158647996471165,0.189843095685095,0.138406861911458,0.987898103795547,7181,0.99995,1000,10,281,10,"100 100000 100 100000 100 100000"
"41","sim--403477487.msf.Rep0",0.228461308580138,0.277538989737721,0.262090837788735,0.262090837788735,0.18244906018607,0.188562787588634,0.15666383940561,0.161602583434505,0.163288020581124,0.147433708804058,2.91640986439282,7181,0.99995,1000,10,202,10,"100 100000 100 100000 100 100000"
"42","sim-2008802295.msf.Rep0",0.272491573378537,0.215918021897464,0.24299443215759,0.24299443215759,0.168853024853992,0.145490427951544,0.173316879648358,0.174283763872114,0.157397600615055,0.180658303058938,2.55084523054615,7181,0.99995,1000,10,293,10,"100 100000 100 100000 100 100000"
"43","sim--267544534.msf.Rep0",0.247308504214611,0.211066987868634,0.295654098559796,0.295654098559796,0.169156443582697,0.143002085733797,0.186686575461276,0.166109551889445,0.181962553841969,0.153082789490816,6.67495277443821,7181,0.99995,1000,10,237,10,"100 100000 100 100000 100 100000"
