"","#treeName","Method","logZ","ModelComparisonExperiments.mainRand","ModelComparisonExperiments.alphaSMCSampler","gen.len","gen.nTaxa","gen.rand","gen.treeRate","ModelComparisonExperiments.iterScalings"
"60","sim--1050299845.msf.Rep0","SSEvolGTR",-3261.75696524595,7181,0.99995,1000,10,206,10,"100 100000 100 100000 100 100000"
"61","sim--1451864418.msf.Rep0","ANNEALINGEvolK2P",-3599.67131141076,7181,0.99995,1000,10,280,10,"100 100000 100 100000 100 100000"
"62","sim--1451864418.msf.Rep0","SSEvolK2P",-3599.19300554203,7181,0.99995,1000,10,280,10,"100 100000 100 100000 100 100000"
"63","sim--1451864418.msf.Rep0","ANNEALINGJC",-3598.10978923549,7181,0.99995,1000,10,280,10,"100 100000 100 100000 100 100000"
"64","sim--1451864418.msf.Rep0","SSJC",-3598.06505324121,7181,0.99995,1000,10,280,10,"100 100000 100 100000 100 100000"
"65","sim--1451864418.msf.Rep0","ANNEALINGEvolGTR",-3606.15547454519,7181,0.99995,1000,10,280,10,"100 100000 100 100000 100 100000"
"66","sim--1451864418.msf.Rep0","SSEvolGTR",-3615.41338078057,7181,0.99995,1000,10,280,10,"100 100000 100 100000 100 100000"
"67","sim--2143997760.msf.Rep0","ANNEALINGEvolK2P",-3641.67290399233,7181,0.99995,1000,10,275,10,"100 100000 100 100000 100 100000"
"68","sim--2143997760.msf.Rep0","SSEvolK2P",-3642.56881018124,7181,0.99995,1000,10,275,10,"100 100000 100 100000 100 100000"
"69","sim--2143997760.msf.Rep0","ANNEALINGJC",-3638.79368424277,7181,0.99995,1000,10,275,10,"100 100000 100 100000 100 100000"
"70","sim--2143997760.msf.Rep0","SSJC",-3640.44671604423,7181,0.99995,1000,10,275,10,"100 100000 100 100000 100 100000"
"71","sim--2143997760.msf.Rep0","ANNEALINGEvolGTR",-3661.91054788329,7181,0.99995,1000,10,275,10,"100 100000 100 100000 100 100000"
"72","sim--2143997760.msf.Rep0","SSEvolGTR",-3667.23401341697,7181,0.99995,1000,10,275,10,"100 100000 100 100000 100 100000"
"73","sim--1962753822.msf.Rep0","ANNEALINGEvolK2P",-3795.26780992899,7181,0.99995,1000,10,295,10,"100 100000 100 100000 100 100000"
"74","sim--1962753822.msf.Rep0","SSEvolK2P",-3794.34752190735,7181,0.99995,1000,10,295,10,"100 100000 100 100000 100 100000"
"75","sim--1962753822.msf.Rep0","ANNEALINGJC",-3794.54882893471,7181,0.99995,1000,10,295,10,"100 100000 100 100000 100 100000"
"76","sim--1962753822.msf.Rep0","SSJC",-3790.1490197902,7181,0.99995,1000,10,295,10,"100 100000 100 100000 100 100000"
"77","sim--1962753822.msf.Rep0","ANNEALINGEvolGTR",-3819.16355496519,7181,0.99995,1000,10,295,10,"100 100000 100 100000 100 100000"
"78","sim--1962753822.msf.Rep0","SSEvolGTR",-3823.41451012835,7181,0.99995,1000,10,295,10,"100 100000 100 100000 100 100000"
"79","sim--1270620480.msf.Rep0","ANNEALINGEvolK2P",-4214.72996387316,7181,0.99995,1000,10,300,10,"100 100000 100 100000 100 100000"
"80","sim--1270620480.msf.Rep0","SSEvolK2P",-4217.50739355555,7181,0.99995,1000,10,300,10,"100 100000 100 100000 100 100000"
"81","sim--1270620480.msf.Rep0","ANNEALINGJC",-4208.86514114815,7181,0.99995,1000,10,300,10,"100 100000 100 100000 100 100000"
"82","sim--1270620480.msf.Rep0","SSJC",-4210.53131691718,7181,0.99995,1000,10,300,10,"100 100000 100 100000 100 100000"
"83","sim--1270620480.msf.Rep0","ANNEALINGEvolGTR",-4239.93128645054,7181,0.99995,1000,10,300,10,"100 100000 100 100000 100 100000"
"84","sim--1270620480.msf.Rep0","SSEvolGTR",-4247.34066678777,7181,0.99995,1000,10,300,10,"100 100000 100 100000 100 100000"
"85","sim--1140921814.msf.Rep0","ANNEALINGEvolK2P",-3343.12813872001,7181,0.99995,1000,10,208,10,"100 100000 100 100000 100 100000"
"86","sim--1140921814.msf.Rep0","SSEvolK2P",-3340.03585803007,7181,0.99995,1000,10,208,10,"100 100000 100 100000 100 100000"
"87","sim--1140921814.msf.Rep0","ANNEALINGJC",-3340.46046688844,7181,0.99995,1000,10,208,10,"100 100000 100 100000 100 100000"
"88","sim--1140921814.msf.Rep0","SSJC",-3337.87464887904,7181,0.99995,1000,10,208,10,"100 100000 100 100000 100 100000"
"89","sim--1140921814.msf.Rep0","ANNEALINGEvolGTR",-3358.07835471071,7181,0.99995,1000,10,208,10,"100 100000 100 100000 100 100000"
"90","sim--1140921814.msf.Rep0","SSEvolGTR",-3366.44184318549,7181,0.99995,1000,10,208,10,"100 100000 100 100000 100 100000"
"91","sim--1128453239.msf.Rep0","ANNEALINGEvolK2P",-3642.62294910525,7181,0.99995,1000,10,282,10,"100 100000 100 100000 100 100000"
"92","sim--1128453239.msf.Rep0","SSEvolK2P",-3643.7988799968,7181,0.99995,1000,10,282,10,"100 100000 100 100000 100 100000"
"93","sim--1128453239.msf.Rep0","ANNEALINGJC",-3636.52197283013,7181,0.99995,1000,10,282,10,"100 100000 100 100000 100 100000"
"94","sim--1128453239.msf.Rep0","SSJC",-3638.20357298569,7181,0.99995,1000,10,282,10,"100 100000 100 100000 100 100000"
"95","sim--1128453239.msf.Rep0","ANNEALINGEvolGTR",-3666.87156063648,7181,0.99995,1000,10,282,10,"100 100000 100 100000 100 100000"
"96","sim--1128453239.msf.Rep0","SSEvolGTR",-3671.32152139544,7181,0.99995,1000,10,282,10,"100 100000 100 100000 100 100000"
"97","sim--1697122203.msf.Rep0","ANNEALINGEvolK2P",-3384.52833290855,7181,0.99995,1000,10,242,10,"100 100000 100 100000 100 100000"
"98","sim--1697122203.msf.Rep0","SSEvolK2P",-3383.2408821157,7181,0.99995,1000,10,242,10,"100 100000 100 100000 100 100000"
"99","sim--1697122203.msf.Rep0","ANNEALINGJC",-3381.92321422278,7181,0.99995,1000,10,242,10,"100 100000 100 100000 100 100000"
"100","sim--1697122203.msf.Rep0","SSJC",-3380.33264240016,7181,0.99995,1000,10,242,10,"100 100000 100 100000 100 100000"
"101","sim--1697122203.msf.Rep0","ANNEALINGEvolGTR",-3400.16052891987,7181,0.99995,1000,10,242,10,"100 100000 100 100000 100 100000"
"102","sim--1697122203.msf.Rep0","SSEvolGTR",-3407.28247692282,7181,0.99995,1000,10,242,10,"100 100000 100 100000 100 100000"
"103","sim--1606500234.msf.Rep0","ANNEALINGEvolK2P",-3779.58264865741,7181,0.99995,1000,10,232,10,"100 100000 100 100000 100 100000"
"104","sim--1606500234.msf.Rep0","SSEvolK2P",-3781.13747158623,7181,0.99995,1000,10,232,10,"100 100000 100 100000 100 100000"
"105","sim--1606500234.msf.Rep0","ANNEALINGJC",-3776.21288019243,7181,0.99995,1000,10,232,10,"100 100000 100 100000 100 100000"
"106","sim--1606500234.msf.Rep0","SSJC",-3775.7399418117,7181,0.99995,1000,10,232,10,"100 100000 100 100000 100 100000"
"107","sim--1606500234.msf.Rep0","ANNEALINGEvolGTR",-3792.72619063354,7181,0.99995,1000,10,232,10,"100 100000 100 100000 100 100000"
"108","sim--1606500234.msf.Rep0","SSEvolGTR",-3799.74705317257,7181,0.99995,1000,10,232,10,"100 100000 100 100000 100 100000"
"109","sim--1464332993.msf.Rep0","ANNEALINGEvolK2P",-3351.86916974022,7181,0.99995,1000,10,214,10,"100 100000 100 100000 100 100000"
"110","sim--1464332993.msf.Rep0","SSEvolK2P",-3353.05649178208,7181,0.99995,1000,10,214,10,"100 100000 100 100000 100 100000"
"111","sim--1464332993.msf.Rep0","ANNEALINGJC",-3350.08284259992,7181,0.99995,1000,10,214,10,"100 100000 100 100000 100 100000"
"112","sim--1464332993.msf.Rep0","SSJC",-3350.18729421253,7181,0.99995,1000,10,214,10,"100 100000 100 100000 100 100000"
"113","sim--1464332993.msf.Rep0","ANNEALINGEvolGTR",-3372.13840705799,7181,0.99995,1000,10,214,10,"100 100000 100 100000 100 100000"
"114","sim--1464332993.msf.Rep0","SSEvolGTR",-3378.8989463729,7181,0.99995,1000,10,214,10,"100 100000 100 100000 100 100000"
"115","sim--1083142254.msf.Rep0","ANNEALINGEvolK2P",-3596.44817174014,7181,0.99995,1000,10,263,10,"100 100000 100 100000 100 100000"
"116","sim--1083142254.msf.Rep0","SSEvolK2P",-3600.0300259433,7181,0.99995,1000,10,263,10,"100 100000 100 100000 100 100000"
"117","sim--1083142254.msf.Rep0","ANNEALINGJC",-3595.26119190913,7181,0.99995,1000,10,263,10,"100 100000 100 100000 100 100000"
"118","sim--1083142254.msf.Rep0","SSJC",-3591.28057517978,7181,0.99995,1000,10,263,10,"100 100000 100 100000 100 100000"
"119","sim--1083142254.msf.Rep0","ANNEALINGEvolGTR",-3604.34425354719,7181,0.99995,1000,10,263,10,"100 100000 100 100000 100 100000"
"120","sim--1083142254.msf.Rep0","SSEvolGTR",-3614.06133761414,7181,0.99995,1000,10,263,10,"100 100000 100 100000 100 100000"
"121","sim--1406553433.msf.Rep0","ANNEALINGEvolK2P",-3065.72586765877,7181,0.99995,1000,10,261,10,"100 100000 100 100000 100 100000"
"122","sim--1406553433.msf.Rep0","SSEvolK2P",-3065.68215637235,7181,0.99995,1000,10,261,10,"100 100000 100 100000 100 100000"
"123","sim--1406553433.msf.Rep0","ANNEALINGJC",-3065.14088951023,7181,0.99995,1000,10,261,10,"100 100000 100 100000 100 100000"
"124","sim--1406553433.msf.Rep0","SSJC",-3064.07298922976,7181,0.99995,1000,10,261,10,"100 100000 100 100000 100 100000"
"125","sim--1406553433.msf.Rep0","ANNEALINGEvolGTR",-3090.52104169298,7181,0.99995,1000,10,261,10,"100 100000 100 100000 100 100000"
"126","sim--1406553433.msf.Rep0","SSEvolGTR",-3094.4301069904,7181,0.99995,1000,10,261,10,"100 100000 100 100000 100 100000"
"127","sim--2111155351.msf.Rep0","ANNEALINGEvolK2P",-3422.4707269134,7181,0.99995,1000,10,218,10,"100 100000 100 100000 100 100000"
"128","sim--2111155351.msf.Rep0","SSEvolK2P",-3421.57144265444,7181,0.99995,1000,10,218,10,"100 100000 100 100000 100 100000"
"129","sim--2111155351.msf.Rep0","ANNEALINGJC",-3417.789525792,7181,0.99995,1000,10,218,10,"100 100000 100 100000 100 100000"
"130","sim--2111155351.msf.Rep0","SSJC",-3416.96214992497,7181,0.99995,1000,10,218,10,"100 100000 100 100000 100 100000"
"131","sim--2111155351.msf.Rep0","ANNEALINGEvolGTR",-3442.98387684305,7181,0.99995,1000,10,218,10,"100 100000 100 100000 100 100000"
"132","sim--2111155351.msf.Rep0","SSEvolGTR",-3450.30360838907,7181,0.99995,1000,10,218,10,"100 100000 100 100000 100 100000"
"133","sim--1975222398.msf.Rep0","ANNEALINGEvolK2P",-3321.21831186104,7181,0.99995,1000,10,253,10,"100 100000 100 100000 100 100000"
"134","sim--1975222398.msf.Rep0","SSEvolK2P",-3324.05957972987,7181,0.99995,1000,10,253,10,"100 100000 100 100000 100 100000"
"135","sim--1975222398.msf.Rep0","ANNEALINGJC",-3320.424585624,7181,0.99995,1000,10,253,10,"100 100000 100 100000 100 100000"
"136","sim--1975222398.msf.Rep0","SSJC",-3320.67681401208,7181,0.99995,1000,10,253,10,"100 100000 100 100000 100 100000"
"137","sim--1975222398.msf.Rep0","ANNEALINGEvolGTR",-3324.23623160714,7181,0.99995,1000,10,253,10,"100 100000 100 100000 100 100000"
"138","sim--1975222398.msf.Rep0","SSEvolGTR",-3330.74434831757,7181,0.99995,1000,10,253,10,"100 100000 100 100000 100 100000"
"139","sim--1328400040.msf.Rep0","ANNEALINGEvolK2P",-3274.6250793695,7181,0.99995,1000,10,249,10,"100 100000 100 100000 100 100000"
"140","sim--1328400040.msf.Rep0","SSEvolK2P",-3275.06621202613,7181,0.99995,1000,10,249,10,"100 100000 100 100000 100 100000"
"141","sim--1328400040.msf.Rep0","ANNEALINGJC",-3270.53937248944,7181,0.99995,1000,10,249,10,"100 100000 100 100000 100 100000"
"142","sim--1328400040.msf.Rep0","SSJC",-3270.24930018989,7181,0.99995,1000,10,249,10,"100 100000 100 100000 100 100000"
"143","sim--1328400040.msf.Rep0","ANNEALINGEvolGTR",-3286.07839603744,7181,0.99995,1000,10,249,10,"100 100000 100 100000 100 100000"
"144","sim--1328400040.msf.Rep0","SSEvolGTR",-3292.74415617924,7181,0.99995,1000,10,249,10,"100 100000 100 100000 100 100000"
"145","sim--2053375791.msf.Rep0","ANNEALINGEvolK2P",-4998.75238388613,7181,0.99995,1000,10,265,10,"100 100000 100 100000 100 100000"
"146","sim--2053375791.msf.Rep0","SSEvolK2P",-4998.94321820128,7181,0.99995,1000,10,265,10,"100 100000 100 100000 100 100000"
"147","sim--2053375791.msf.Rep0","ANNEALINGJC",-4994.83256973921,7181,0.99995,1000,10,265,10,"100 100000 100 100000 100 100000"
"148","sim--2053375791.msf.Rep0","SSJC",-4994.02949051334,7181,0.99995,1000,10,265,10,"100 100000 100 100000 100 100000"
"149","sim--2053375791.msf.Rep0","ANNEALINGEvolGTR",-5016.89875900674,7181,0.99995,1000,10,265,10,"100 100000 100 100000 100 100000"
"150","sim--2053375791.msf.Rep0","SSEvolGTR",-5030.11710048522,7181,0.99995,1000,10,265,10,"100 100000 100 100000 100 100000"
"151","sim--1639342643.msf.Rep0","ANNEALINGEvolK2P",-5109.01414511351,7181,0.99995,1000,10,289,10,"100 100000 100 100000 100 100000"
"152","sim--1639342643.msf.Rep0","SSEvolK2P",-5110.16019624012,7181,0.99995,1000,10,289,10,"100 100000 100 100000 100 100000"
"153","sim--1639342643.msf.Rep0","ANNEALINGJC",-5104.38200172238,7181,0.99995,1000,10,289,10,"100 100000 100 100000 100 100000"
"154","sim--1639342643.msf.Rep0","SSJC",-5104.22070601836,7181,0.99995,1000,10,289,10,"100 100000 100 100000 100 100000"
"155","sim--1639342643.msf.Rep0","ANNEALINGEvolGTR",-5121.39208551238,7181,0.99995,1000,10,289,10,"100 100000 100 100000 100 100000"
"156","sim--1639342643.msf.Rep0","SSEvolGTR",-5129.45558732579,7181,0.99995,1000,10,289,10,"100 100000 100 100000 100 100000"
"157","sim--1004988861.msf.Rep0","ANNEALINGEvolK2P",-4119.36090860305,7181,0.99995,1000,10,251,10,"100 100000 100 100000 100 100000"
"158","sim--1004988861.msf.Rep0","SSEvolK2P",-4122.43570818688,7181,0.99995,1000,10,251,10,"100 100000 100 100000 100 100000"
"159","sim--1004988861.msf.Rep0","ANNEALINGJC",-4117.73185048841,7181,0.99995,1000,10,251,10,"100 100000 100 100000 100 100000"
"160","sim--1004988861.msf.Rep0","SSJC",-4116.82717928707,7181,0.99995,1000,10,251,10,"100 100000 100 100000 100 100000"
"161","sim--1004988861.msf.Rep0","ANNEALINGEvolGTR",-4141.4124655502,7181,0.99995,1000,10,251,10,"100 100000 100 100000 100 100000"
"162","sim--1004988861.msf.Rep0","SSEvolGTR",-4150.38581834561,7181,0.99995,1000,10,251,10,"100 100000 100 100000 100 100000"
"163","sim-1627611556.msf.Rep0","ANNEALINGEvolK2P",-2730.44305302189,7181,0.99995,1000,10,244,10,"100 100000 100 100000 100 100000"
"164","sim-1627611556.msf.Rep0","SSEvolK2P",-2731.77373847134,7181,0.99995,1000,10,244,10,"100 100000 100 100000 100 100000"
"165","sim-1627611556.msf.Rep0","ANNEALINGJC",-2727.6851197537,7181,0.99995,1000,10,244,10,"100 100000 100 100000 100 100000"
"166","sim-1627611556.msf.Rep0","SSJC",-2728.83155179526,7181,0.99995,1000,10,244,10,"100 100000 100 100000 100 100000"
"167","sim-1627611556.msf.Rep0","ANNEALINGEvolGTR",-2743.11832122627,7181,0.99995,1000,10,244,10,"100 100000 100 100000 100 100000"
"168","sim-1627611556.msf.Rep0","SSEvolGTR",-2748.96889448187,7181,0.99995,1000,10,244,10,"100 100000 100 100000 100 100000"
"169","sim-1213578408.msf.Rep0","ANNEALINGEvolK2P",-3930.63696910824,7181,0.99995,1000,10,220,10,"100 100000 100 100000 100 100000"
"170","sim-1213578408.msf.Rep0","SSEvolK2P",-3933.69358366913,7181,0.99995,1000,10,220,10,"100 100000 100 100000 100 100000"
"171","sim-1213578408.msf.Rep0","ANNEALINGJC",-3926.93192304204,7181,0.99995,1000,10,220,10,"100 100000 100 100000 100 100000"
"172","sim-1213578408.msf.Rep0","SSJC",-3927.12975908047,7181,0.99995,1000,10,220,10,"100 100000 100 100000 100 100000"
"173","sim-1213578408.msf.Rep0","ANNEALINGEvolGTR",-3929.63390389404,7181,0.99995,1000,10,220,10,"100 100000 100 100000 100 100000"
"174","sim-1213578408.msf.Rep0","SSEvolGTR",-3938.00530907815,7181,0.99995,1000,10,220,10,"100 100000 100 100000 100 100000"
"175","sim-1827558357.msf.Rep0","ANNEALINGEvolK2P",-3307.28938183622,7181,0.99995,1000,10,273,10,"100 100000 100 100000 100 100000"
"176","sim-1827558357.msf.Rep0","SSEvolK2P",-3306.72292900686,7181,0.99995,1000,10,273,10,"100 100000 100 100000 100 100000"
"177","sim-1827558357.msf.Rep0","ANNEALINGJC",-3303.3049314399,7181,0.99995,1000,10,273,10,"100 100000 100 100000 100 100000"
"178","sim-1827558357.msf.Rep0","SSJC",-3303.81869721052,7181,0.99995,1000,10,273,10,"100 100000 100 100000 100 100000"
"179","sim-1827558357.msf.Rep0","ANNEALINGEvolGTR",-3320.49004650629,7181,0.99995,1000,10,273,10,"100 100000 100 100000 100 100000"
"180","sim-1827558357.msf.Rep0","SSEvolGTR",-3329.723444513,7181,0.99995,1000,10,273,10,"100 100000 100 100000 100 100000"
"181","sim--1373711024.msf.Rep0","ANNEALINGEvolK2P",-4289.65536520721,7181,0.99995,1000,10,204,10,"100 100000 100 100000 100 100000"
"182","sim--1373711024.msf.Rep0","SSEvolK2P",-4291.52628808181,7181,0.99995,1000,10,204,10,"100 100000 100 100000 100 100000"
"183","sim--1373711024.msf.Rep0","ANNEALINGJC",-4286.20191358889,7181,0.99995,1000,10,204,10,"100 100000 100 100000 100 100000"
"184","sim--1373711024.msf.Rep0","SSJC",-4284.47532892914,7181,0.99995,1000,10,204,10,"100 100000 100 100000 100 100000"
"185","sim--1373711024.msf.Rep0","ANNEALINGEvolGTR",-4306.76068099705,7181,0.99995,1000,10,204,10,"100 100000 100 100000 100 100000"
"186","sim--1373711024.msf.Rep0","SSEvolGTR",-4314.2671224733,7181,0.99995,1000,10,204,10,"100 100000 100 100000 100 100000"
"187","sim-1361979937.msf.Rep0","ANNEALINGEvolK2P",-3905.2908620048,7181,0.99995,1000,10,297,10,"100 100000 100 100000 100 100000"
"188","sim-1361979937.msf.Rep0","SSEvolK2P",-3907.78417927915,7181,0.99995,1000,10,297,10,"100 100000 100 100000 100 100000"
"189","sim-1361979937.msf.Rep0","ANNEALINGJC",-3902.86555421245,7181,0.99995,1000,10,297,10,"100 100000 100 100000 100 100000"
