"X.Method","Adaptive","AdaptiveType","T","IterScale","Repeat","Metric","Value","TreeName","Time"
"ANNEALING","true",0,12541,1000,0,"RobinsonFouldsMetric",0.352820108297475,"sim-1121221206.msf",14955566
"ANNEALING","true",0,12541,1000,0,"KuhnerFelsenstein",0.00452458908968608,"sim-1121221206.msf",14955566
"ANNEALING","false",0,12541,1000,0,"ConsensusLogLL",-28044.0909314791,"sim-1121221206.msf",14975631
"ANNEALING","false",0,12541,1000,0,"BestSampledLogLL",-28060.5591324812,"sim-1121221206.msf",14975631
"ANNEALING","false",0,12541,1000,0,"PartitionMetric",0,"sim-1121221206.msf",14975631
"ANNEALING","false",0,12541,1000,0,"RobinsonFouldsMetric",0.354449123283271,"sim-1121221206.msf",14975631
"ANNEALING","false",0,12541,1000,0,"KuhnerFelsenstein",0.00403028828020177,"sim-1121221206.msf",14975631
"ANNEALING","true",0,12245,1000,1,"ConsensusLogLL",-28044.7573644464,"sim-1121221206.msf",14630717
"ANNEALING","true",0,12245,1000,1,"BestSampledLogLL",-28056.6395613591,"sim-1121221206.msf",14630717
"ANNEALING","true",0,12245,1000,1,"PartitionMetric",0,"sim-1121221206.msf",14630717
"ANNEALING","true",0,12245,1000,1,"RobinsonFouldsMetric",0.325480607888843,"sim-1121221206.msf",14630717
"ANNEALING","true",0,12245,1000,1,"KuhnerFelsenstein",0.00382596405951293,"sim-1121221206.msf",14630717
"ANNEALING","false",0,12245,1000,1,"ConsensusLogLL",-28044.5035374888,"sim-1121221206.msf",14553825
"ANNEALING","false",0,12245,1000,1,"BestSampledLogLL",-28059.2990235618,"sim-1121221206.msf",14553825
"ANNEALING","false",0,12245,1000,1,"PartitionMetric",0,"sim-1121221206.msf",14553825
"ANNEALING","false",0,12245,1000,1,"RobinsonFouldsMetric",0.344733478502656,"sim-1121221206.msf",14553825
"ANNEALING","false",0,12245,1000,1,"KuhnerFelsenstein",0.00391437069258656,"sim-1121221206.msf",14553825
"ANNEALING","true",0,12228,1000,2,"ConsensusLogLL",-28043.9291801798,"sim-1121221206.msf",14601614
"ANNEALING","true",0,12228,1000,2,"BestSampledLogLL",-28061.623173705,"sim-1121221206.msf",14601614
"ANNEALING","true",0,12228,1000,2,"PartitionMetric",0,"sim-1121221206.msf",14601614
"ANNEALING","true",0,12228,1000,2,"RobinsonFouldsMetric",0.332489995677078,"sim-1121221206.msf",14601614
"ANNEALING","true",0,12228,1000,2,"KuhnerFelsenstein",0.00409795316952032,"sim-1121221206.msf",14601614
"ANNEALING","false",0,12228,1000,2,"ConsensusLogLL",-28044.6073156377,"sim-1121221206.msf",14527235
"ANNEALING","false",0,12228,1000,2,"BestSampledLogLL",-28061.5817341478,"sim-1121221206.msf",14527235
"ANNEALING","false",0,12228,1000,2,"PartitionMetric",0,"sim-1121221206.msf",14527235
"ANNEALING","false",0,12228,1000,2,"RobinsonFouldsMetric",0.318127821621169,"sim-1121221206.msf",14527235
"ANNEALING","false",0,12228,1000,2,"KuhnerFelsenstein",0.0029555818084672,"sim-1121221206.msf",14527235
